,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus,region_id
1,Kidatu,Hydro,Reservoir,PP,TZ,200,,,,,,1975,1975,2075,-7.6367,36.8866,{nan},{'GHPT': {'G603596'}, 'GEO': {'GEO-40355'}, 'GPD': {'WRI1019867'}}
2,Kihansi,Hydro,Run-Of-River,PP,TZ,180,,,,,,1999,1999,2099,-8.5751,35.8512,{nan},{'GHPT': {'G603597'}, 'GEO': {'GEO-40352'}, 'GPD': {'WRI1019868'}}
3,Mtera,Hydro,Reservoir,PP,TZ,80,,,,,,1980,1980,2080,-7.1386,35.9888,{nan},{'GHPT': {'G603599'}, 'GEO': {'GEO-40354'}, 'GPD': {'WRI1019869'}}
4,Hale ,Hydro,Run-Of-River,PP,TZ,20.73248408,,,,,,1964,1964,2064,-5.298,38.604,{nan, nan},{'GEO': {'GEO-40350'}, 'GPD': {'WRI1019866'}}
5,Nyumba Ya Mungu ,Hydro,Reservoir,PP,TZ,7.125971594,,,,,,1966,1966,2066,-3.826,37.47,{nan},{'GEO': {'GEO-40349'}, 'GPD': {'WRI1019870'}}
6,Pangani Falls Tanzania,Hydro,Run-Of-River,PP,TZ,67.13375796,,,,,,1995,1995,2095,-5.349,38.651,{nan},{'GEO': {'GEO-40351'}, 'GPD': {'WRI1019871'}}
7,Julius Nyerere,Hydro,Reservoir,PP,TZ,2115,,,,,,2024,2024,2124,-7.8032,37.8511,{nan},{'GHPT': {'G603595'}}
8,Rusumo,Hydro,Reservoir,PP,TZ,27,,,,,,2023,2023,2123,-2.3823,30.7832,{nan},{'GHPT': {'G604140'}}
9,Kikonge,Hydro,Reservoir,PP,TZ,300,,,,,,2028,2028,2078,-10.44,34.8,{nan},{'AHA v2.3}}
10,Ruhudji,Hydro,Reservoir,PP,TZ,358,,,,,,2025,2025,2075,-9.499,35.306,{nan},{'AHA v2.3}}
11,Mwenga,Hydro,Run-Of-River,PP,TZ,4,,,,,,2012,2012,2062,-5.248503303,29.84765679,{nan},{'AHA v2.3}}
12,Songwe Manolo,Hydro,Reservoir,PP,TZ,90.1,,,,,,2028,2028,2078,-9.608,33.538,{nan},{'AHA v2.3}}
13,Songwe Sofre,Hydro,Reservoir,PP,TZ,81.6,,,,,,2035,2035,2085,-9.607,33.659,{nan},{'AHA v2.3}}
14,Taveta,Hydro,Run-Of-River,PP,TZ,145,,,,,,2034,2034,2084,-3.671312194,37.36230388,{nan},{'AHA v2.3}}
15,Kakono,Hydro,Run-Of-River,PP,TZ,87,,,,,,2026,2026,2076,-1.0521935,30.9104641,{nan},{'AHA v2.3}}
16,Malagaresi,Hydro,Reservoir,PP,TZ,44.8,,,,,,2026,2026,2076,-5.191,30.083,{nan},{'AHA v2.3}}
17,Masigira,Hydro,Reservoir,PP,TZ,118,,,,,,2028,2028,2078,-3.6691334,33.4295028,{nan},{'AHA v2.3}}
18,Songwe Bipungu,Hydro,Reservoir,PP,TZ,17,,,,,,2040,2040,2090,-9.5850732,33.5145624,{nan},{'AHA v2.3}}
19,Rumakali,Hydro,Reservoir,PP,TZ,222,,,,,,2026,2026,2076,-9.318,33.969,{nan},{'AHA v2.3}}
20,Ikondo,Hydro,Reservoir,PP,TZ,340,,,,,,2038,2038,2088,-9.628912954,34.60913099,{nan},{'AHA v2.3}}
21,Mpanga (Tanzania),Hydro,Reservoir,PP,TZ,160,,,,,,2033,2033,2083,-8.854,35.645,{nan},{'AHA v2.3}}
22,Iringa Nginayo,Hydro,Run-Of-River,PP,TZ,52,,,,,,2035,2035,2085,-7.7681,35.6861,{nan},{'AHA v2.3}}
23,Iringa Ibosa,Hydro,Run-Of-River,PP,TZ,36,,,,,,2035,2035,2085,-7.7681,35.6861,{nan},{'AHA v2.3}}
24,Upper Kihansi,Hydro,Reservoir,PP,TZ,180,,,,,,2027,2027,2077,-8.4,36.35,{nan},{'AHA v2.3}}
25,Uwemba,Hydro,Run-Of-River,PP,TZ,0.84,,,,,,1991,1991,2041,-9.27,34.47,{nan},{'AHA v2.3}}
